,RANK,NAME,NET WORTH ,INDUSTRY
1,1,Mukesh Ambani,$105 B,Diversified
2,2,Gautam Adani & family,$92 B,Diversified
3,3,Savitri Jindal & family,$40.2 B,Metals & Mining
4,4,Sunil Mittal & family,$34.2 B,Telecom
5,5,Shiv Nadar,$33.2 B,Technology
6,6,Radhakishan Damani & family,$28.2 B,Fashion & Retail
7,7,Dilip Shanghvi & family,$26.3 B,Healthcare
8,8,Bajaj Family,$21.8 B,Diversified
9,9,Cyrus Poonawalla,$21.4 B,Healthcare
10,10,Kumar Birla,$20.7 B,Diversified
11,11,Hinduja family,$20.6 B,Diversified
12,12,Lakshmi Mittal,$20 B,Metals & Mining
13,13,Kushal Pal Singh,$16.7 B,Real Estate
14,14,Uday Kotak,$14.6 B,Finance & Investments
15,15,Sudhir & Samir Mehta,$14.1 B,Healthcare
16,16,Shapoor Mistry & family,$13.7 B,Diversified
17,17,Ravi Jaipuria,$13.3 B,Food & Beverage
18,18,Madhukar Parekh & family,$12.7 B,Manufacturing
19,19,Vikram Lal & family,$11.4 B,Automotive
20,20,Jamshyd Godrej & Smita Godrej Crishna,$11.2 B,Diversified
21,21,Kapil & Rahul Bhatia,$10.9 B,Service
22,22,Azim Premji,$10.8 B,Technology
23,23,Muthoot family,$10.4 B,Finance & Investments
24,24,Adi & Nadir Godrej,$10.2 B,Diversified
25,25,Murali Divi & family,$10 B,Healthcare
26,26,Ramesh and Rajeev Juneja & family,$9.7 B,Healthcare
27,27,Pankaj Patel,$9.5 B,Healthcare
28,28,Shiv Kishan Agrawal & Manohar Lal and Madhusudan Agarwal,$9 B,Food & Beverage
29,29,Burman family,$8.8 B,Food & Beverage
30,30,Rekha Jhunjhunwala,$8.7 B,Finance & Investments
31,31,Vijay Chauhan & family,$8.6 B,Food & Beverage
32,32,Inder Jaisinghani & family,$8.5 B,Manufacturing
33,33,Murugappa Family,$8.3 B,Diversified
34,34,Benu Gopal Bangur,$7.8 B,Manufacturing
35,35,Mangal Prabhat Lodha,$7.7 B,Real Estate
36,36,Hasmukh Chudgar & family,$7.6 B,Healthcare
37,37,Doshi siblings,$7.5 B,Energy
38,38,Vinod and Anil Rai Gupta & family,$7.2 B,Manufacturing
39,39,Harsh Mariwala & family,$6.9 B,Food & Beverage
40,40,Nithin and Nikhil Kamath & family,$6.8 B,Finance & Investments
41,41,Satyanarayan Nuwal & family,$6.6 B,Manufacturing
42,42,Vivek Chaand Sehgal & family,$6.5 B,Automotive
43,43,Singh family,$6.4 B,Healthcare
44,44,Nusli Wadia,$6.35 B,Food & Beverage
45,45,"Girdhari Lal Bawri, Banwari Lal Bawri and Rajendra Agarwal",$6.3 B,Healthcare
46,46,Kuldip Singh & Gurbachan Singh Dhingra,$6.2 B,Manufacturing
47,47,Sridhar Vembu & siblings,$6 B,Technology
48,48,Chandru Raheja,$5.9 B,Real Estate
49,49,M.A. Yusuff Ali,$5.85 B,Fashion & Retail
50,50,Venu Srinivasan,$5.8 B,Automotive
51,51,Dani family,$5.7 B,Manufacturing
52,52,Pawan Munjal & family,$5.65 B,Automotive
53,53,Renuka Jagtiani,$5.6 B,Fashion & Retail
54,54,Joy Alukkas,$5.3 B,Fashion & Retail
55,55,Yusuf Hamied & family,$5.25 B,Healthcare
56,56,Vikas Oberoi,$5.2 B,Real Estate
57,57,Gupta family,$5.1 B,Healthcare
58,58,Nirmal Minda,$5.05 B,Automotive
59,59,Irfan Razack & siblings,$5 B,Real Estate
60,60,Lachhman Das Mittal,$4.9 B,Automotive
61,61,Abhay Firodia,$4.8 B,Automotive
62,62,N.R. Narayana Murthy,$4.6 B,Technology
63,63,Mahendra Choksi & family,$4.5 B,Manufacturing
64,64,Kailashchandra Nuwal,$4.45 B,Manufacturing
65,65,Vivek Jain,$4.4 B,Manufacturing
66,66,Karsanbhai Patel,$4.35 B,Diversified
67,67,Alpana Dangi,$4.3 B,Finance & Investments
68,68,Shyam & Hari Bhartia,$4.25 B,Diversified
69,69,Anand Mahindra,$4.23 B,Diversified
70,70,P.P. Reddy & P.V. Krishna Reddy,$4.22 B,Construction & Engineering
71,71,Falguni Nayar,$4.2 B,Fashion & Retail
72,72,Sanjiv Goenka,$4.15 B,Diversified
73,73,Ravi Pillai,$4.1 B,Construction & Engineering
74,74,Baba Kalyani,$4.08 B,Automotive
75,75,Anurang Jain & family,$4.07 B,Manufacturing
76,76,Rajan Raheja & family,$4.05 B,Diversified
77,77,Harsh Goenka,$4.03 B,Diversified
78,78,Sunny Varkey,$4 B,Service
79,79,Vakil family,$3.9 B,Manufacturing
80,80,Sunil Vachani,$3.85 B,Manufacturing
81,81,Arun Bharat Ram,$3.81 B,Manufacturing
82,82,Leena Tewari,$3.8 B,Healthcare
83,83,G. M. Rao,$3.75 B,Logistics
84,84,Senapathy Gopalakrishnan,$3.7 B,Technology
85,85,Salil Singhal & family,$3.68 B,Manufacturing
86,86,Prathap Reddy,$3.65 B,Healthcare
87,87,P.N.C. Menon,$3.6 B,Real Estate
88,88,Surender Saluja,$3.55 B,Energy
89,89,B. Partha Saradhi Reddy,$3.5 B,Healthcare
90,90,Arvind Poddar & family,$3.46 B,Automotive
91,91,Reddy Family,$3.45 B,Healthcare
92,92,Sanjeev Bikhchandani & family,$3.43 B,Technology
93,93,Kiran Mazumdar-Shaw,$3.42 B,Healthcare
94,94,Harish Ahuja,$3.4 B,Manufacturing
95,95,Ajay Piramal,$3.38 B,Healthcare
96,96,Amalgamations family,$3.35 B,Manufacturing
97,97,K.P. Ramasamy & family,$3.3 B,Manufacturing
98,98,T.S. Kalyanaraman,$3.25 B,Fashion & Retail
99,99,Bajranglal Taparia & family,$3.22 B,Manufacturing
100,100,Nandan Nilekani,$3.2 B,Technology
